! Fractional density (n(X)/nH)
!             1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21             22             23             24
       Redshift          ctime           Trad             Tn             nb             nH             e-              H             He              D             H2             HD             D2             H+             D+            He+            H2+            HD+            D2+           HeH+            H3+           H2D+           HD2+            D3+             H-
  3.401000E+003  0.000000E+000  9.269426E+003  9.269426E+003  8.151816E+003  7.547801E+003  1.080025E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  1.000000E+000  2.530000E-005  8.000000E-002  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000
  3.400876E+003  3.168879E+000  9.269089E+003  9.269088E+003  8.150927E+003  7.546978E+003  1.080024E+000  1.796857E-010  1.705857E-006  4.546047E-015  6.941758E-036  3.211260E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.554308E-028  0.000000E+000  0.000000E+000  1.268827E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.306460E-028
  3.400867E+003  3.485767E+000  9.269064E+003  9.269063E+003  8.150861E+003  7.546917E+003  1.080024E+000  1.796933E-010  1.705992E-006  4.546240E-015  6.942382E-036  3.211549E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.554494E-028  0.000000E+000  0.000000E+000  1.268924E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.306636E-028
  3.400858E+003  3.834344E+000  9.269039E+003  9.269038E+003  8.150795E+003  7.546856E+003  1.080024E+000  1.797009E-010  1.706126E-006  4.546433E-015  6.943006E-036  3.211838E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.554679E-028  0.000000E+000  0.000000E+000  1.269021E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.306812E-028
  3.400842E+003  4.217778E+000  9.268995E+003  9.268994E+003  8.150680E+003  7.546749E+003  1.080024E+000  1.797142E-010  1.706362E-006  4.546770E-015  6.944097E-036  3.212344E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.555003E-028  0.000000E+000  0.000000E+000  1.269191E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.307120E-028
  3.400825E+003  4.639556E+000  9.268948E+003  9.268947E+003  8.150556E+003  7.546635E+003  1.080024E+000  1.797285E-010  1.706613E-006  4.547131E-015  6.945265E-036  3.212885E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.555350E-028  0.000000E+000  0.000000E+000  1.269372E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.307450E-028
  3.400808E+003  5.103511E+000  9.268902E+003  9.268901E+003  8.150433E+003  7.546521E+003  1.080024E+000  1.797427E-010  1.706865E-006  4.547491E-015  6.946434E-036  3.213426E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.555697E-028  0.000000E+000  0.000000E+000  1.269554E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.307780E-028
  3.400790E+003  5.613863E+000  9.268855E+003  9.268854E+003  8.150310E+003  7.546406E+003  1.080024E+000  1.797570E-010  1.707117E-006  4.547852E-015  6.947602E-036  3.213968E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.556044E-028  0.000000E+000  0.000000E+000  1.269735E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.308109E-028
  3.400771E+003  6.175249E+000  9.268802E+003  9.268801E+003  8.150170E+003  7.546277E+003  1.080024E+000  1.797732E-010  1.707403E-006  4.548261E-015  6.948928E-036  3.214582E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.556437E-028  0.000000E+000  0.000000E+000  1.269941E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.308483E-028
  3.400745E+003  6.792774E+000  9.268730E+003  9.268729E+003  8.149981E+003  7.546102E+003  1.080024E+000  1.797950E-010  1.707789E-006  4.548813E-015  6.950717E-036  3.215410E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.556968E-028  0.000000E+000  0.000000E+000  1.270219E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.308988E-028
  3.400723E+003  7.472051E+000  9.268670E+003  9.268669E+003  8.149822E+003  7.545955E+003  1.080024E+000  1.798133E-010  1.708113E-006  4.549277E-015  6.952221E-036  3.216107E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.557414E-028  0.000000E+000  0.000000E+000  1.270453E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.309412E-028
  3.400696E+003  8.219256E+000  9.268598E+003  9.268597E+003  8.149633E+003  7.545779E+003  1.080024E+000  1.798353E-010  1.708500E-006  4.549832E-015  6.954020E-036  3.216940E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.557948E-028  0.000000E+000  0.000000E+000  1.270732E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.309919E-028
  3.400664E+003  9.041182E+000  9.268511E+003  9.268510E+003  8.149402E+003  7.545566E+003  1.080024E+000  1.798620E-010  1.708972E-006  4.550508E-015  6.956208E-036  3.217954E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.558597E-028  0.000000E+000  0.000000E+000  1.271072E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.310537E-028
  3.400633E+003  9.945300E+000  9.268424E+003  9.268423E+003  8.149174E+003  7.545355E+003  1.080024E+000  1.798883E-010  1.709437E-006  4.551174E-015  6.958368E-036  3.218954E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.559238E-028  0.000000E+000  0.000000E+000  1.271407E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.311145E-028
  3.400592E+003  1.093983E+001  9.268314E+003  9.268313E+003  8.148882E+003  7.545084E+003  1.080024E+000  1.799221E-010  1.710035E-006  4.552029E-015  6.961143E-036  3.220240E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.560060E-028  0.000000E+000  0.000000E+000  1.271838E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.311927E-028
  3.400549E+003  1.203381E+001  9.268196E+003  9.268195E+003  8.148573E+003  7.544798E+003  1.080024E+000  1.799579E-010  1.710668E-006  4.552934E-015  6.964078E-036  3.221599E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.560931E-028  0.000000E+000  0.000000E+000  1.272294E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.312755E-028
  3.400507E+003  1.323719E+001  9.268081E+003  9.268080E+003  8.148268E+003  7.544516E+003  1.080024E+000  1.799931E-010  1.711291E-006  4.553826E-015  6.966971E-036  3.222939E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.561788E-028  0.000000E+000  0.000000E+000  1.272743E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.313570E-028
  3.400462E+003  1.456091E+001  9.267959E+003  9.267958E+003  8.147946E+003  7.544218E+003  1.080024E+000  1.800305E-010  1.711952E-006  4.554771E-015  6.970036E-036  3.224359E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.562696E-028  0.000000E+000  0.000000E+000  1.273219E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.314433E-028
  3.400409E+003  1.601701E+001  9.267814E+003  9.267813E+003  8.147565E+003  7.543865E+003  1.080024E+000  1.800746E-010  1.712733E-006  4.555888E-015  6.973662E-036  3.226039E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.563771E-028  0.000000E+000  0.000000E+000  1.273782E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.315454E-028
  3.400349E+003  1.761871E+001  9.267652E+003  9.267651E+003  8.147137E+003  7.543469E+003  1.080024E+000  1.801242E-010  1.713610E-006  4.557142E-015  6.977733E-036  3.227925E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.564977E-028  0.000000E+000  0.000000E+000  1.274414E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.316600E-028
  3.400284E+003  1.938058E+001  9.267475E+003  9.267474E+003  8.146670E+003  7.543036E+003  1.080024E+000  1.801783E-010  1.714568E-006  4.558511E-015  6.982181E-036  3.229985E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999829E-002  4.566294E-028  0.000000E+000  0.000000E+000  1.275105E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.317852E-028
  3.400213E+003  2.131863E+001  9.267281E+003  9.267280E+003  8.146160E+003  7.542564E+003  1.080024E+000  1.802375E-010  1.715616E-006  4.560008E-015  6.987044E-036  3.232237E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999828E-002  4.567733E-028  0.000000E+000  0.000000E+000  1.275859E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.319220E-028
  3.400135E+003  2.345050E+001  9.267068E+003  9.267067E+003  8.145596E+003  7.542042E+003  1.080024E+000  1.803029E-010  1.716774E-006  4.561662E-015  6.992421E-036  3.234728E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999828E-002  4.569323E-028  0.000000E+000  0.000000E+000  1.276694E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.320732E-028
  3.400048E+003  2.579555E+001  9.266831E+003  9.266830E+003  8.144972E+003  7.541464E+003  1.080024E+000  1.803753E-010  1.718057E-006  4.563495E-015  6.998379E-036  3.237488E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999828E-002  4.571085E-028  0.000000E+000  0.000000E+000  1.277618E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.322407E-028
  3.399950E+003  2.837510E+001  9.266563E+003  9.266562E+003  8.144265E+003  7.540809E+003  1.080024E+000  1.804574E-010  1.719512E-006  4.565571E-015  7.005134E-036  3.240617E-040  0.000000E+000  1.000000E+000  2.530000E-005  7.999828E-002  4.573082E-028  0.000000E+000  0.000000E+000  1.278666E-024  0.000000E+000  0.000000E+000  0.000000E+000  0.000000E+000  4.324304E-028
