# v0.9.0-1540-g108da938-dirty
task_in,task_out,implicit_in,implicit_out,mpi_in,mpi_out,cluster_in,cluster_out,number_link,number_rank,task_in_is_top,task_in_is_hydro_super,task_in_is_grav_super,task_out_is_top,task_out_is_hydro_super,task_out_is_grav_super,cell_has_active_task
sort,sub_self_density,0,0,0,0,None,Density,8,1,1,1,1,1,1,1,1
sort,sub_pair_density,0,0,0,0,None,Density,48,1,1,1,1,1,1,1,1
sort,pair_density,0,0,0,0,None,Density,8,1,1,1,1,0,0,0,1
self_grav,grav_down_in,0,1,0,0,Gravity,None,8,1,1,1,1,1,1,1,1
pair_density,ghost_in,0,1,0,0,Density,None,8,1,0,0,0,1,1,1,1
pair_force,hydro_end_force,0,0,0,0,Force,None,8,1,0,0,0,1,1,1,1
pair_grav,grav_down_in,0,1,0,0,Gravity,None,56,1,1,1,1,1,1,1,1
sub_self_density,ghost_in,0,1,0,0,Density,None,8,1,1,1,1,1,1,1,1
sub_self_force,hydro_end_force,0,0,0,0,Force,None,8,1,1,1,1,1,1,1,1
sub_pair_density,ghost_in,0,1,0,0,Density,None,48,1,1,1,1,1,1,1,1
sub_pair_force,hydro_end_force,0,0,0,0,Force,None,48,1,1,1,1,1,1,1,1
init_grav,grav_long_range,0,0,0,0,None,Gravity,8,1,1,1,1,1,1,1,1
init_grav,init_grav_out,0,1,0,0,None,None,8,1,1,1,1,1,1,1,1
init_grav_out,init_grav_out,1,1,0,0,None,None,8,1,0,0,0,0,0,0,1
init_grav_out,self_grav,1,0,0,0,None,Gravity,8,1,0,0,0,1,1,1,1
init_grav_out,pair_grav,1,0,0,0,None,Gravity,56,1,0,0,0,1,1,1,1
ghost_in,ghost,1,0,0,0,None,None,63,1,1,1,1,0,0,0,1
ghost,ghost_out,0,1,0,0,None,None,63,1,0,0,0,1,1,1,1
ghost_out,sub_self_force,1,0,0,0,None,Force,8,1,1,1,1,1,1,1,1
ghost_out,sub_pair_force,1,0,0,0,None,Force,48,1,1,1,1,1,1,1,1
ghost_out,pair_force,1,0,0,0,None,Force,8,1,1,1,1,0,0,0,1
drift_part,sub_self_density,0,0,0,0,None,Density,8,1,1,1,1,1,1,1,1
drift_part,sub_pair_density,0,0,0,0,None,Density,48,1,1,1,1,1,1,1,1
drift_part,pair_density,0,0,0,0,None,Density,8,1,1,1,1,0,0,0,1
drift_part,sort,0,0,0,0,None,None,8,1,1,1,1,1,1,1,1
drift_gpart,drift_gpart_out,0,1,0,0,None,None,8,1,1,1,1,1,1,1,1
drift_gpart_out,drift_gpart_out,1,1,0,0,None,None,8,1,0,0,0,0,0,0,1
drift_gpart_out,self_grav,1,0,0,0,None,Gravity,8,1,0,0,0,1,1,1,1
drift_gpart_out,pair_grav,1,0,0,0,None,Gravity,56,1,0,0,0,1,1,1,1
hydro_end_force,kick2,0,0,0,0,None,None,8,1,1,1,1,1,1,1,1
kick2,timestep,0,0,0,0,None,None,8,1,1,1,1,1,1,1,1
timestep,kick1,0,0,0,0,None,None,8,1,1,1,1,1,1,1,1
timestep,collect,0,0,0,0,None,None,8,1,1,1,1,1,1,1,1
grav_long_range,grav_down,0,0,0,0,Gravity,None,8,1,1,1,1,1,1,1,1
grav_down_in,grav_down,1,0,0,0,None,None,8,1,0,0,0,1,1,1,1
grav_down_in,grav_down_in,1,1,0,0,None,None,8,1,0,0,0,1,1,1,1
grav_down,grav_end_force,0,0,0,0,None,None,8,1,1,1,1,1,1,1,1
grav_end_force,kick2,0,0,0,0,None,None,8,1,1,1,1,1,1,1,1
