# task_type, task_subtype, depth, count
sort none 0 8
self grav 0 8
pair density 5 4
pair force 5 4
pair grav 0 28
sub_self density 0 8
sub_self force 0 8
sub_pair density 0 24
sub_pair force 0 24
init_grav none 0 8
init_grav_out none 0 8
init_grav_out none 1 8
ghost_in none 0 8
ghost none 4 63
ghost_out none 0 8
drift_part none 0 8
drift_gpart none 0 8
drift_gpart_out none 0 8
drift_gpart_out none 1 8
hydro_end_force none 0 8
kick1 none 0 8
kick2 none 0 8
timestep none 0 8
collect none 0 8
grav_long_range none 0 8
grav_down_in none 0 8
grav_down_in none 1 8
grav_down none 0 8
grav_end_force none 0 8
