# Global statistics file
######################################################
# The quantities are all given in internal units!
#
# (0)  Simulation step
#      Unit = dimensionless
# (1)  Time since Big Bang (cosmological run), Time since start of the simulation (non-cosmological run).
#      Unit = 1.000000e+00 s
#      Unit = 3.168877e-08 yr 
#      Unit = 3.168877e-14 Myr 
# (2)  Scale factor
#      Unit = dimensionless
# (3)  Redshift
#      Unit = dimensionless
# (4)  Total mass in the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (5)  Total gas mass in the simulation (Particle type 0). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (6)  Total dark matter mass in the simulation (Particle type 1 & 2). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (7)  Total sink mass in the simulation (Particle type 3). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (8)  Total stellar mass in the simulation (Particle type 4). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (9)  Total black hole mass in the simulation (Particle type 5). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (10) Total metal mass in the gas phase. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (11) Total metal mass locked in stars. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (12) Total metal mass locked in black holes. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (13) Total kinetic energy (physical). 
#      Unit = 1.000000e+00 erg
# (14) Total internal (thermal) energy of the gas (physical). 
#      Unit = 1.000000e+00 erg
# (15) Total potential energy (physical). 
#      Unit = 1.000000e+00 erg
# (16) Total radiated energy of the gas (physical). 
#      Unit = 1.000000e+00 erg
# (17) Total gas entropy (physical). 
#      Unit = 1.000000e+00 gram**(0.333) * cm**(4.000) * s**(-2.000)
# (18) Comoving centre of mass of the simulation (x coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (19) Comoving centre of mass of the simulation (y coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (20) Comoving centre of mass of the simulation (z coordinate). 
#      Unit = 1.000000e+00 cm
#      Unit = 3.240779e-19 pc
#      Unit = 3.240779e-25 Mpc
# (21) Comoving momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (22) Comoving momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (23) Comoving momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+00 gram * cm * s**-1
# (24) Comoving angular momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (25) Comoving angular momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (26) Comoving angular momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+00 gram * cm**2 * s**-1
# (27) Sum of instantaneous accretion rate of all black holes in the simulation. 
#      Unit = 1.000000e+00 gram * s**-1
#      Unit = 1.587043e-26 Msun/yr
# (28)  Total mass accreted by black holes in the simulation (not including mass accreted by progenitors that have merged in the current BHs). 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (29)  Total black hole subgrid mass in the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (30) Total Hydrogen (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (31) Total Molecular Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (32) Total Atomic Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (33) Total Helium (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+00 gram
#      Unit = 5.029144e-34 Msun
# (34) Total Magnetic Energy B2/(2*mu0) in thesimulation. 
#      Unit = 1.000000e+00 erg
# (35) Total DivB error in thesimulation. 
#      Unit = dimensionless
# (36) Total Cross Helicity :: sum(V.B) in thesimulation. 
#      Unit = 1.000000e+00 gram * cm * s**-3 * A**-1 
# (37) Total Magnetic Helicity :: sum(A.B) in thesimulation. 
#      Unit = 1.000000e+00 gram**2 * cm * s**-4 * A**-2
#
#           (0)            (1)            (2)            (3)            (4)            (5)            (6)            (7)            (8)            (9)           (10)           (11)           (12)           (13)           (14)           (15)           (16)           (17)           (18)           (19)           (20)           (21)           (22)           (23)           (24)           (25)           (26)           (27)           (28)           (29)           (30)           (31)           (32)           (33)           (34)            (35)            (36)            (37) 
#          Step           Time              a              z     Total mass       Gas mass        DM mass      Sink mass      Star mass        BH mass     Gas Z mass    Star Z mass      BH Z mass    Kin. Energy    Int. Energy    Pot. energy    Rad. energy    Gas Entropy          CoM x          CoM y          CoM z         Mom. x         Mom. y         Mom. z    Ang. mom. x    Ang. mom. y    Ang. mom. z   BH acc. rate   BH acc. mass   BH sub. mass     Gas H mass    Gas H2 mass    Gas HI mass    Gas He mass    Mag. Energy        DivB err  Cross Helicity   Mag. Helicity 
              0   0.000000e+00      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.999889e+00   1.200000e-05   0.000000e+00   0.000000e+00   7.997749e-06   9.998950e-01   1.000025e+00   1.000078e+00   8.560509e-04  -2.442258e-04  -3.873057e-04  -2.925883e-04   1.396720e-03  -1.432084e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.043038e+04   2.534134e-02  -1.269131e+01   0.000000e+00
              5   3.000000e-03      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.998632e+00   1.169859e-03   0.000000e+00   0.000000e+00   7.637363e-04   9.998648e-01   1.000048e+00   1.000070e+00   8.560509e-04  -2.442323e-04  -3.873078e-04  -1.430083e-04   1.243231e-03  -1.100354e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.044524e+04   3.412423e+01  -1.271467e+01   0.000000e+00
             10   6.000000e-03      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.996822e+00   2.371865e-03   0.000000e+00   0.000000e+00   1.516543e-03   9.998651e-01   1.000047e+00   1.000070e+00   8.560471e-04  -2.442604e-04  -3.873073e-04  -1.427807e-04   1.242918e-03  -1.100482e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.048487e+04   9.058386e+01  -1.256332e+01   0.000000e+00
             15   9.000000e-03      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.994617e+00   3.611920e-03   0.000000e+00   0.000000e+00   2.263468e-03   9.998654e-01   1.000047e+00   1.000070e+00   8.560359e-04  -2.443322e-04  -3.872922e-04  -1.423677e-04   1.242450e-03  -1.100648e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.054380e+04   1.708877e+02  -1.229787e+01   0.000000e+00
             20   1.200000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.992068e+00   4.886576e-03   0.000000e+00   0.000000e+00   3.003749e-03   9.998658e-01   1.000047e+00   1.000070e+00   8.560071e-04  -2.444503e-04  -3.872569e-04  -1.417788e-04   1.241838e-03  -1.100822e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.061755e+04   2.689124e+02  -1.196995e+01   0.000000e+00
             25   1.500000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.989219e+00   6.195340e-03   0.000000e+00   0.000000e+00   3.738180e-03   9.998661e-01   1.000047e+00   1.000070e+00   8.559527e-04  -2.446179e-04  -3.871916e-04  -1.410159e-04   1.241093e-03  -1.100992e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.070267e+04   3.760348e+02  -1.161979e+01   0.000000e+00
             30   1.800000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.986115e+00   7.538669e-03   0.000000e+00   0.000000e+00   4.467672e-03   9.998664e-01   1.000047e+00   1.000070e+00   8.558752e-04  -2.448326e-04  -3.870863e-04  -1.400994e-04   1.240247e-03  -1.101158e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.079660e+04   4.831721e+02  -1.127043e+01   0.000000e+00
             35   2.100000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.982797e+00   8.917169e-03   0.000000e+00   0.000000e+00   5.192832e-03   9.998667e-01   1.000047e+00   1.000069e+00   8.557675e-04  -2.450909e-04  -3.869309e-04  -1.390433e-04   1.239323e-03  -1.101314e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.089741e+04   5.826784e+02  -1.094424e+01   0.000000e+00
             40   2.400000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.979304e+00   1.033166e-02   0.000000e+00   0.000000e+00   5.914201e-03   9.998670e-01   1.000047e+00   1.000069e+00   8.556344e-04  -2.453892e-04  -3.867155e-04  -1.378529e-04   1.238362e-03  -1.101480e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.100368e+04   6.686874e+02  -1.065364e+01   0.000000e+00
             46   2.700000e-02      1.0000000      0.0000000   8.000000e+00   8.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   3.975669e+00   1.178366e-02   0.000000e+00   0.000000e+00   6.633035e-03   9.998674e-01   1.000047e+00   1.000069e+00   8.554816e-04  -2.457253e-04  -3.864242e-04  -1.365292e-04   1.237394e-03  -1.101669e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.111438e+04   7.488350e+02  -1.041154e+01   0.000000e+00
