# R [h^-1 Mpc], rho_gas [h^-1 M_sun / (h^-3 Mpc)]
0.023312761045735087, 414774859727881.75
0.028487568396294648, 352196519257984.7
0.03490810225182011, 362003337896150.25
0.04289496203552197, 356625573505578.2
0.0525626371473216, 349464183288065.1
0.06440921480692889, 324751663967946.1
0.07914583279120943, 306632450201933.8
0.09698373639500778, 271662379125504.47
0.11884195027613696, 245842790067854.7
0.1460326003558813, 209867603150716.38
0.1789454569939827, 175392559947453.8
0.21927621983549578, 145805123054012.47
0.2694459027673423, 119931061606351
0.3301736741546455, 101299135078543.39
0.4045882827875415, 83321879761281.28
0.497156760484846, 64308470986871.266
0.6092060504695779, 44400170658160.59
0.7465090318128236, 28309935701134.95
0.9173078601577587, 17485329232128.578
1.1240508889116114, 9358175624139.916
1.3773897027827604, 5281411942909.416
1.692531968159478, 3551005408166.5728
