# R [h^-1 Mpc], rho_gas [h^-1 M_sun / (h^-3 Mpc)]
0.021265069263568432, 205248241157412.56
0.025689253667398475, 279951177802765.8
0.031096170782104932, 262213161039334.62
0.03759904152539372, 242507132183911.8
0.045565623088149126, 248730378356210.84
0.05509543653517412, 237942094300786.47
0.06662006300083274, 237942094300786.47
0.08055330322008279, 227621734885809.84
0.0976156810924936, 211853106934796.5
0.11816310190645761, 203952186463605.72
0.14271386896315075, 186249981347129.06
0.17255396600592612, 164781600577166.25
0.20840096804172273, 144867217091572.5
0.2528138864464032, 125756186881544.06
0.306006737917123, 106434956941906.14
0.3695637764571211, 87643129424068.7
0.446806108699688, 69038907938108.26
0.5401777052056586, 51805795482555.76
0.6544909940291803, 36565289809315.08
0.7912059173500027, 24173073924405.37
0.9575115804830386, 15126973937525.086
1.156169751748322, 9017385448022.969
1.4022111788977407, 5056097601455.426
1.6951278026832943, 3385169867783.922
