# R [h^-1 Mpc], rho_gas [h^-1 M_sun / (h^-3 Mpc)]
0.025062976570965047, 3182364577568090
0.03003516263444017, 2687691467446492.5
0.04012229174855199, 1988943867821441.8
0.050132679673772766, 1576470405785951.5
0.0702154833774691, 1043846330375803.4
0.08025535172618023, 881396497690922.2
0.10027881421653238, 655518339776614.6
0.15015566339373532, 376233399587329.8
0.2005845417821262, 234945830379718.12
0.24993291720468944, 163955475951628.3
0.3003516263444014, 124531159006782.27
0.40010736128087626, 82438195147480.19
0.5013267967377272, 56622020355333.16
0.7002025694664931, 29372421531383.96
1.0027881421653229, 11626065702107.764
1.2017289667307804, 6701370603962.383
1.400593062935807, 4116124914936.153
1.6008590055114547, 3348838975325.094
